2022-06-07 20:16:25.684 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:16:31.825 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:16:32.205 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:26:03.349 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:26:11.998 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:26:12.323 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:28:10.773 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:28:18.658 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:28:19.189 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:43:21.261 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 20:43:27.801 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:43:28.221 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:46:43.951 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
